pair_id,identified_gaps,domain,canon_score_mean,canon_score_min,q_related_count,q_len,best_rel_rank,relevant_in_top10,hit@1_designed,hit@3_designed,hit@5_designed,hit@10_designed,hit@1_baseline,hit@3_baseline,hit@5_baseline,hit@10_baseline,delta_hit@1,delta_hit@3,delta_hit@5,delta_hit@10
0,Azure; Redshift; BigQuery,cloud_devops,0.9680666666666666,0.9288,25,135,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
1,n8n; AI-Native; AI-Augmented Daily Workflows,software_data_ai,0.8745666666666666,0.7,20,132,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
2,"GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)",cloud_devops,0.7804500000000001,0.7,44,264,1.0,1.0,1,1,1,1,0,1,1,1,1,0,0,0
4,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,cloud_devops,0.9683250000000001,0.9234,28,179,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
7,"Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)",cloud_devops,0.849775,0.7,29,154,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
9,Python; SQL; AWS; SEO; Lean,cloud_devops,0.9472200000000001,0.8574,36,233,7.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0
12,Docker; containerization; ECS/EKS,cloud_devops,0.7445,0.7,26,136,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
14,presentation skills; technical analysis and solution design; group work and communication skills,english_communication,0.9202,0.8455,18,135,,,0,0,0,0,0,1,1,1,0,-1,-1,-1
17,PowerPoint; accounting software (Fast),finance_risk,0.9976499999999999,0.9953,18,114,1.0,1.0,1,1,1,1,0,0,1,1,1,1,0,0
21,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,finance_risk,0.9424999999999999,0.9196,18,132,6.0,1.0,0,0,0,1,1,1,1,1,-1,-1,-1,0
23,Python; C#; Playwright,software_data_ai,0.8778666666666667,0.8213,20,133,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
30,AWS; cloud platforms,cloud_devops,0.9993000000000001,0.9986,16,94,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
31,Real estate industry experience; Project management; Managing outsourced content providers,ops_project_quality,0.9481333333333333,0.906,18,147,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
35,information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles,cloud_devops,0.98192,0.9579,33,245,1.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0
