pair_id,identified_gaps,best_rel_rank,canon_score_mean,q_related_count,hit@10_designed,hit@1_designed
9,Python; SQL; AWS; SEO; Lean,7.0,0.9472200000000001,36,1,0
21,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,6.0,0.9424999999999999,18,1,0
37,JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain,2.0,0.9708400000000001,40,1,0
90,Python; WordPress; Docker,5.0,0.9546333333333333,34,1,0
94,WordPress; Docker; Website development,2.0,0.8793000000000001,20,1,0
121,"Modern architectural styles (microservices, cloud-based, micro-kernel); Design patterns (SOLID, GoF, MVVM); CI/CD tools and practices; Oracle; MS SQL",2.0,0.9221199999999999,46,1,0
125,secure coding practices; encryption standards,4.0,0.9944,12,1,0
149,Sketch; component; usability; accessibility; responsive design,2.0,0.94546,30,1,0
153,accessibility; security-by-design principles; Fluent in English (written and oral),5.0,0.9466666666666667,18,1,0
156,Financial Analysis,2.0,0.9773,6,1,0
180,MongoDB; Kubernetes; GO,3.0,0.8773,30,1,0
197,TikTok marketing; YouTube marketing; Technical analysis (TA); Financial analysis (FA),2.0,0.9705999999999999,24,1,0
198,Real Estate Law; Labor Law; English proficiency,3.0,0.9984999999999999,18,1,0
201,CAD/CAM software; cloud computing,3.0,0.98335,20,1,0
208,Kubernetes; AWS; GCP; GOC,2.0,0.8703,39,1,0
221,Python; SQL; AWS; CISSP; Machine Learning,2.0,0.9402200000000001,36,1,0
223,purchase order management; inventory management; human resources management,6.0,0.9658333333333333,18,1,0
226,database management,3.0,0.9529,7,1,0
232,Salary calculation; Social insurance procedures; Accounting principles,2.0,0.8756666666666666,18,1,0
240,.Net; data pipelines; modern data engineering stacks; computer vision,3.0,0.9737250000000001,27,1,0
257,Docker; EC2; VPC; ECS/EKS; RDS; Data Lakes,2.0,0.8012333333333332,55,1,0
263,Material Design; Information Architecture; Design System,7.0,0.9867666666666667,18,1,0
350,web security; Node.js; Python,5.0,0.9626,20,1,0
753,Design Tokens; Heuristic Evaluation; A/B Testing; AI Copilot Studio,7.0,0.991675,25,1,0
435,Material Design; AI,8.0,0.9354,13,1,0
552,Real Estate industry knowledge; OKR implementation; Advanced recruitment reporting; Database management (ATS/CRM systems),2.0,0.8700000000000001,25,1,0
