K,Metric,Baseline,Designed,Delta,Change %
@1,PRECISION,0.270000,0.400000,+0.130000,+48.15%
@1,RECALL,0.108583,0.186583,+0.078000,+71.83%
@1,HIT_RATE,0.270000,0.400000,+0.130000,+48.15%
@1,NDCG,0.270000,0.400000,+0.130000,+48.15%
@1,MRR,0.270000,0.400000,+0.130000,+48.15%
@1,MAP,0.270000,0.400000,+0.130000,+48.15%
@3,PRECISION,0.263333,0.270000,+0.006667,+2.53%
@3,RECALL,0.328167,0.333167,+0.005000,+1.52%
@3,HIT_RATE,0.550000,0.650000,+0.100000,+18.18%
@3,NDCG,0.324125,0.365250,+0.041125,+12.69%
@3,MRR,0.390000,0.505000,+0.115000,+29.49%
@3,MAP,0.265556,0.296111,+0.030555,+11.51%
@5,PRECISION,0.218000,0.214000,-0.004000,-1.83%
@5,RECALL,0.432333,0.425833,-0.006500,-1.50%
@5,HIT_RATE,0.640000,0.720000,+0.080000,+12.50%
@5,NDCG,0.362206,0.395085,+0.032879,+9.08%
@5,MRR,0.410500,0.520500,+0.110000,+26.80%
@5,MAP,0.287986,0.310464,+0.022478,+7.81%
@10,PRECISION,0.169000,0.130000,-0.039000,-23.08%
@10,RECALL,0.640250,0.505917,-0.134333,-20.98%
@10,HIT_RATE,0.870000,0.820000,-0.050000,-5.75%
@10,NDCG,0.452644,0.428767,-0.023877,-5.28%
@10,MRR,0.443417,0.533563,+0.090146,+20.33%
@10,MAP,0.340584,0.327155,-0.013429,-3.94%
