pair_id,jd_id,gap_source,gap_count,identified_gaps,groundtruth_technical_gaps,gap_match_details,missed_gap_confusions,query_text,truth_count,truth_courses,pred_top10,pred_top10_titles,overlap_top10,hit@1,hit@3,hit@5,hit@10
0,695cb6e11fa95d1eeecca0b2,groundtruth_dataset,3,Azure; Redshift; BigQuery,Azure; Redshift; BigQuery,<groundtruth_gap_source>,,"Azure, Redshift, BigQuery",2,CNTT1167; CNTT1186,TKKT1134; NNTM1107; CNTT1175; CNTT1187; TIKT1130; TIKT1130; DTKT1149; TIKT1124; NNTM1163; TOKT1149,Data Analysis 2; Translation 1; Unstructured database; Data Analysis Programming; Database; Database; Chuyên đề Tin học quản lý đầu tư; Database Application; Translation 3; Data Driven Marketing,,0.0,0.0,0.0,0.0
1,694a8c5247743a24b54ffb04,groundtruth_dataset,3,n8n; AI-Native; AI-Augmented Daily Workflows,n8n; AI-Native; AI-Augmented Daily Workflows,<groundtruth_gap_source>,,"n8n, AI-Native, AI-Augmented Daily Workflows",3,CNTT1140; TIHT1123; CNTT1186,TKKT1134; NNTM1107; NNTM1163; TOKT1149; DTKT1149; NNTM1164; TIHT1123; QTCL1111; NNKC 1131; CNTT1140,Data Analysis 2; Translation 1; Translation 3; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Interpretation 3; Application of Artificial Intelligence in Business and Management; Business Process Management; English 1; Artificial Intelligence,TIHT1123; CNTT1140,0.0,0.0,0.0,1.0
2,696ee8cab166038a822e471f,groundtruth_dataset,6,"GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)","GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)",<groundtruth_gap_source>,,"GraphQL, Kubernetes, lock-free programming, log analysis, production issue resolution, cloud services (AWS, GCP)",1,CNTT1167,TKKT1134; CNTT1167; CNTT1198; TOKT1149; DTKT1149; NNTM1107; CNTT1175; CNTT1187; NNTM1163; CNTT1181,Data Analysis 2; Cloud Computing; Cloud Service Security; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Translation 1; Unstructured database; Data Analysis Programming; Translation 3; Knowledge Discovery in Database,CNTT1167,0.0,1.0,1.0,1.0
4,695cb6e11fa95d1eeecca0b3,groundtruth_dataset,4,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,<groundtruth_gap_source>,,"Google Cloud Deployment Manager, Go, encryption, disaster recovery strategies",4,CNTT1198; CNTT1167; CNTT1168; CNTT11105,TKKT1134; NNTM1107; CNTT1167; CNTT1198; NNTM1163; DTKT1149; CNTT1186; TOKT1149; CNTT1199; MKTT1140,Data Analysis 2; Translation 1; Cloud Computing; Cloud Service Security; Translation 3; Chuyên đề Tin học quản lý đầu tư; Advanced Technologies in Information and Communication Technology; Data Driven Marketing; Software and Database Security; Crisis Management,CNTT1167; CNTT1198,0.0,1.0,1.0,1.0
7,6961e074b166038a822e41c9,groundtruth_dataset,4,"Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)","Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)",<groundtruth_gap_source>,,"Docker, Networking (TCP/IP Routing, Switching), vCenter, Virtualization Systems Management (Full stack)",2,CNTT1145; CNTT1121,TKKT1134; CNTT1121; CNTT1145; NNTM1107; TIKT1109; CNTT11102; CNTT1197; CNTT1167; DTKT1149; CNTT1168,Data Analysis 2; Network Management; Virtualization Technologies; Translation 1; Basic Informatics; Vulnerability Assessment and Penetration Testing; Cybersecurity; Cloud Computing; Chuyên đề Tin học quản lý đầu tư; An toàn và bảo mật thông tin,CNTT1121; CNTT1145,0.0,1.0,1.0,1.0
9,697a65cfb166038a822e4d2c,groundtruth_dataset,5,Python; SQL; AWS; SEO; Lean,Python; SQL; AWS; SEO; Lean,<groundtruth_gap_source>,,"Python, SQL, AWS, SEO, Lean",6,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,TKKT1134; TOKT1149; NNTM1107; CNTT1187; NNTM1163; DTKT1149; CNTT1175; CNTT1119; TIKT1130; TIKT1135,Data Analysis 2; Data Driven Marketing; Translation 1; Data Analysis Programming; Translation 3; Chuyên đề Tin học quản lý đầu tư; Unstructured database; Website Design and Programming; Database; Development of Open Source Software and Applications,TIKT1130,0.0,0.0,0.0,1.0
12,694a8c5247743a24b54ffb03,groundtruth_dataset,3,Docker; containerization; ECS/EKS,Docker; containerization; ECS/EKS,<groundtruth_gap_source>,,"Docker, containerization, ECS/EKS",3,CNTT1167; CNTT1198; CNTT1186,TKKT1134; NNTM1107; CNTT1167; NNTM1163; DTKT1149; TOKT1149; TMKT1136; TIKT1129; CNTT1198; TIKT1129,Data Analysis 2; Translation 1; Cloud Computing; Translation 3; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing; E-Logistics; Electronic Commerce Systems; Cloud Service Security; Electronic Commerce Systems,CNTT1167; CNTT1198,0.0,1.0,1.0,1.0
14,6961e0b5b166038a822e41cb,groundtruth_dataset,3,presentation skills; technical analysis and solution design; group work and communication skills,presentation skills; technical analysis and solution design; group work and communication skills,<groundtruth_gap_source>,,"presentation skills, technical analysis and solution design, group work and communication skills",1,CNTT1137,NNTM1168; TKKT1134; NHCK1106; KTQT1107; QTKD1130; NNTM1169; CNTT1118; MKBH1110; NNTM1164; NNTM1151,English-Speaking skills 4; Data Analysis 2; Securities Analysis and Investment; Business Analysis; Managerial Skills; English - Writing Skills 4; Algorithm Analysis and Design; Selling Skills; Interpretation 3; Integrated skills - English for economics and business 1,,0.0,0.0,0.0,0.0
17,6961d9bbb166038a822e41b1,groundtruth_dataset,2,PowerPoint; accounting software (Fast),PowerPoint; accounting software (Fast),<groundtruth_gap_source>,,"PowerPoint, accounting software (Fast)",1,KTHT1104,DTKT1149; TKKT1134; NNTM1107; TIHT1119; KTHT1101; KTHT1101; TOKT1149; NNTM1163; TIKT1117; KTKE1103,Chuyên đề Tin học quản lý đầu tư; Data Analysis 2; Translation 1; Computer-based Accounting; Accounting Information Systems 1; Accounting Information Systems 1; Data Driven Marketing; Translation 3; Accounting Informatics; Public Accounting,,0.0,0.0,0.0,0.0
21,6961e10bb166038a822e41d0,groundtruth_dataset,3,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,<groundtruth_gap_source>,,"Financial banking operations knowledge, Credit profiling and evaluation, Product advisory",3,NHTM 1121; NHTM 1111; MKMA1101,TKKT1134; NNTM1107; NHTM 1111; NNTM1163; NHTM 1121; NHTM 1102; NHHLT1106; TOKT1149; NNTM 1150; DTKT1149,Data Analysis 2; Translation 1; Commercial Banking 2; Translation 3; Commercial Banking; Commercial Banking 1; Ngân hàng Trung ương; Data Driven Marketing; English for Banking and Finance – in English; Chuyên đề Tin học quản lý đầu tư,NHTM 1111; NHTM 1121,0.0,1.0,1.0,1.0
