gap_skill_full,canonical_skill_label,count
AWS,Collaborate with team members,6
Python,Code Execution,6
AWS,Group activity organization,5
Python,Collaborate with team members,5
AWS,Cloud computing,4
AWS,Code Execution,4
Python,Self-directed learning,4
GCP,Group activity organization,4
GCP,Cloud computing,4
AWS,Working independently or actively participating in group activities,4
AWS,Social responsibility and professional ethics,4
SQL,Collaborate with team members,4
SQL,Code Execution,4
AWS,Cloud Service Analysis,3
Python,Python Programming Basics,3
Python,PyCharm,3
Python,Python Libraries,3
Python,Text data analysis,3
Python,Self-directed learning and research,3
AWS,Ethical Responsibility,3
Python,Visual Studio Code,3
Python,Variable Handling,3
Python,Windows OS Operations,3
Python,Google Colab,3
Python,Functions,3
AWS,Application of legal knowledge to specific situations,3
AI,Research and develop AI applications,3
SQL,Self-directed learning,3
AI,Identify basic problems in AI,3
Python,Office Application Proficiency,3
Python,Participate in group discussions,3
AWS,Hadoop Model Explanation,3
Python,Problem Solving Skills,3
AWS,Independent Problem Solving,3
Python,Ethical Responsibility,3
GCP,Self-study and Independent Learning Ability,3
GCP,Independent Problem Solving,3
GCP,Classroom Discipline,3
GCP,Application of legal knowledge to specific situations,3
Azure,Cloud computing,3
ECS/EKS,Cloud computing,3
GCP,Hadoop Model Explanation,3
GCP,Cloud Service Analysis,3
GCP,Collaborate with team members,3
GCP,Research Skills,3
Python,Data interaction programming,3
AWS,SQL Server,3
Kubernetes,Cloud computing,3
Kubernetes,Group activity organization,3
Python,Dynamic Group Work Environment,3
AWS,Self-study and Independent Learning Ability,3
AWS,Self-directed learning,3
AWS,Research Skills,3
Python,Data Representation,3
Python,Data Types Identification,3
AWS,Classroom Discipline,3
Python,File Handling,3
Python,Information and Data Processing,3
Python,Jupyter Notebook,3
Python,Modules,3
Python,Object-Oriented Programming,3
Reports,Principal Component Analysis,2
Reports,Statistical Software Proficiency,2
SEO,Code Execution,2
SEO,Collaborate with team members,2
SEO,SQL Server,2
SEO,Social responsibility and professional ethics,2
SEO,Working independently or actively participating in group activities,2
SQL,Data Types Identification,2
SQL,Ethical Responsibility,2
SQL,Data Representation,2
SQL,Dynamic Group Work Environment,2
SQL,Data interaction programming,2
SQL,File Handling,2
SQL,Group activity organization,2
SQL,Google Colab,2
SQL,Functions,2
SQL,Problem Solving Skills,2
SQL,Object-Oriented Programming,2
SQL,Office Application Proficiency,2
SQL,Information and Data Processing,2
SQL,Jupyter Notebook,2
SQL,Machine Learning Techniques,2
SQL,Modules,2
AI,Self-directed learning,2
SQL,Python Libraries,2
SQL,PyCharm,2
SQL,Python Programming Basics,2
SQL,Participate in group discussions,2
AWS,Data Relationships,2
Reports,Evaluating Statistical Models,2
Reports,Correspondence Analysis,2
Reports,Data Visualization,2
Python,Social responsibility and professional ethics,2
AWS,Database Management System Concepts,2
AWS,Database Design Principles,2
AWS,Database Concepts,2
AWS,Database Management System Proficiency,2
SQL,Self-directed learning and research,2
SQL,Social responsibility and professional ethics,2
SQL,Text data analysis,2
SQL,SQL Server,2
containerization,Cloud Security Architecture,2
chatbots,Research and develop AI applications,2
chatbots,Identify basic problems in AI,2
containerization,Cloud computing,2
database management,Working independently or actively participating in group activities,2
multithreading,Collaborate with team members,2
parallel processing,Collaborate with team members,2
Sales Agent Training,Calculate premiums for some basic life insurance products,2
WordPress,Code Execution,2
SQL,Windows OS Operations,2
SQL,Working independently or actively participating in group activities,2
SQL,Visual Studio Code,2
SQL,Variable Handling,2
AI,Independent study and group work,2
SQL,Working effectively in diverse teams,2
AI,Differentiate modern AI techniques,2
AI,Differentiate knowledge representation and processing methods,2
AI,Classify problem-solving methods using search techniques,2
AI,"Combine searching, modeling, and solving techniques",2
Zalo Ads,Research and develop AI applications,2
Zalo Ads,Identify basic problems in AI,2
database management,Social responsibility and professional ethics,2
database management,SQL Server,2
Python,Group activity organization,2
AWS,Modules,2
AWS,Model Analysis,2
AWS,Machine Learning Techniques,2
AWS,Normalized Database Design,2
AWS,Participate in group discussions,2
AWS,Office Application Proficiency,2
AWS,Object-Oriented Programming,2
Python,Machine Learning Techniques,2
AWS,Information and Data Processing,2
Python,SQL Server,2
AWS,Jupyter Notebook,2
AWS,Google Colab,2
AWS,Group organization,2
AWS,File Handling,2
AWS,Functions,2
Python,Working independently or actively participating in group activities,2
Redshift,Cloud computing,2
AWS,Data Analysis and Information Support,2
Reports,Cluster analysis,2
AWS,Data interaction programming,2
AWS,Data Types Identification,2
AWS,Data Representation,2
Python,Working effectively in diverse teams,2
AWS,Database Model Understanding,2
AWS,Database Querying,2
AWS,Dynamic Group Work Environment,2
Oracle,Data visualization with R,2
Partner Relationship Management,Calculate premiums for some basic life insurance products,2
Performance tuning,Data visualization with R,2
AWS,Problem Solving Skills,2
AWS,PyCharm,2
Machine Learning,Collaborate with team members,2
Machine Learning,Machine Learning Techniques,2
Machine Learning,Self-directed learning,2
Machine Learning,Code Execution,2
Lean,SQL Server,2
AWS,Working effectively in diverse teams,2
Lean,Social responsibility and professional ethics,2
Lean,Working independently or actively participating in group activities,2
Lean,Collaborate with team members,2
Lean,Code Execution,2
Kubernetes,Working independently or actively participating in group activities,2
Kubernetes,Social responsibility and professional ethics,2
Kubernetes,Self-study and Independent Learning Ability,2
Kubernetes,Research Skills,2
AWS,Windows OS Operations,2
AWS,Visual Studio Code,2
Kubernetes,Hadoop Model Explanation,2
Kubernetes,Independent Problem Solving,2
Kubernetes,Collaborate with team members,2
Kubernetes,Cloud Service Analysis,2
MongoDB,Social responsibility and professional ethics,2
MongoDB,Group activity organization,2
MongoDB,Working independently or actively participating in group activities,2
Non-life Insurance Products,Calculate premiums for some basic life insurance products,2
AWS,Text data analysis,2
AWS,Variable Handling,2
AWS,Self-directed learning and research,2
AWS,SQL Syntax Application,2
MariaDB,Data visualization with R,2
AWS,Query Optimization,2
AWS,Python Libraries,2
AWS,Python Programming Basics,2
Interpreting,Correspondence Analysis,2
Interpreting,Data Visualization,2
Interpreting,Evaluating Statistical Models,2
Interpreting,Principal Component Analysis,2
Interpreting,Statistical Software Proficiency,2
Java,Collaborate with team members,2
Access,Cluster analysis,2
Access,Correspondence Analysis,2
Access,Data Visualization,2
Access,Evaluating Statistical Models,2
Kubernetes,Application of legal knowledge to specific situations,2
Kubernetes,Classroom Discipline,2
Access,Principal Component Analysis,2
Interpreting,Cluster analysis,2
GOC,Cloud computing,2
Access,Statistical Software Proficiency,2
GCP,Working independently or actively participating in group activities,2
GO,Group activity organization,2
GCP,Social responsibility and professional ethics,2
GO,Working independently or actively participating in group activities,2
GO,Social responsibility and professional ethics,2
Azure,Application of legal knowledge to specific situations,2
GCP,Data visualization with R,2
Azure,Independent Problem Solving,2
Azure,Group activity organization,2
Azure,Hadoop Model Explanation,2
Azure,Collaborate with team members,2
Azure,Data visualization with R,2
Azure,Cloud Service Analysis,2
Azure,Classroom Discipline,2
FPGA,Collaborate with team members,2
IPCore,Collaborate with team members,2
Ethernet,Collaborate with team members,2
ECS/EKS,Self-study and Independent Learning Ability,2
ECS/EKS,Independent Problem Solving,2
ECS/EKS,Research Skills,2
ECS/EKS,Group activity organization,2
Azure,Self-study and Independent Learning Ability,2
Azure,Research Skills,2
ECS/EKS,Hadoop Model Explanation,2
ECS/EKS,Collaborate with team members,2
ECS/EKS,Cloud Service Analysis,2
ECS/EKS,Cloud Security Architecture,2
ECS/EKS,Classroom Discipline,2
ECS/EKS,Application of legal knowledge to specific situations,2
Docker,Ethical Responsibility,2
Docker,Collaborate with team members,2
Docker,Code Execution,2
Docker,Cloud computing,2
Docker,Cloud Security Architecture,2
Data analysis,Statistical Software Proficiency,2
Data analysis,Principal Component Analysis,2
BigQuery,Cloud computing,2
Data analysis,Evaluating Statistical Models,2
Data analysis,Data Visualization,2
Data analysis,Correspondence Analysis,2
Data analysis,Cluster analysis,2
Data Analysis for Facebook Ad Campaigns,Data visualization with R,2
Change management,Data visualization with R,2
CISSP,Self-directed learning,2
CISSP,Machine Learning Techniques,2
CISSP,Collaborate with team members,2
CISSP,Code Execution,2
CAN,Collaborate with team members,2
parallel processing,Execute code segments,1
parallel processing,Describe the operation of software on a computer,1
parallel processing,Classroom Discipline,1
parallel processing,Cache Memory,1
parallel processing,Applying Critical Thinking to Solve Practical Problems,1
parallel processing,Apply testing techniques,1
parallel processing,Apply basic programming techniques,1
