pair_id,jd_title,gap_skill_full,raw_skill_name,raw_skill_description,canonical_skill_label,canonical_skill_id,score,gt_to_canonical_score,gt_to_canonical_score_num
226,Nhân Viên Kho Cửa Hàng - Làm Part Time Tại Quận 1,database management,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,0.8935423667504291,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Lean,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,0.6975488034177998,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Lean,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,0.6975488034177998,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,Python,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,Python,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Python,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Python,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
90,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",Python,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
90,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",Python,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,0.6877489880375094,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,SQL,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,0.6831192169158932,0.7,0.7
90,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",Docker,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,0.6772420324739818,0.7,0.7
90,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",Docker,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,0.6772420324739818,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,AWS,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,AWS,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,CISSP,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,CISSP,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,Machine Learning,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,Machine Learning,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,SQL,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
221,Chuyên Viên Tuyển Dụng Và Đào Tạo,SQL,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,AWS,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,AWS,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,AWS,Critical Thinking,Enhance critical thinking skills by analyzing and solving problems in Python.,Code Execution,a0ba2c2884ad77fe,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Lean,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,Python,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,SEO,Data Extraction Techniques,Apply data extraction techniques using SQL commands.,Reporting with Database,2c9ccd21e34ab25a,,0.7,0.7
9,Chuyên Viên Nhân Sự Tổng Hợp,SEO,Control Structures,"Apply control structures such as if, while, and for loops in Python.",Code Execution,a0ba2c2884ad77fe,,0.7,0.7
