k,metric,baseline_before_train_hf,designed_before_train_hf,baseline_after_train_local,designed_after_train_local,delta_designed_minus_baseline_before,delta_designed_minus_baseline_after,delta_after_minus_before_baseline,delta_after_minus_before_designed
@1,hit_rate,0.27,0.4,0.53,0.44,0.13,-0.09000000000000002,0.26,0.03999999999999998
@1,map,0.27,0.4,0.53,0.44,0.13,-0.09000000000000002,0.26,0.03999999999999998
@1,mrr,0.27,0.4,0.53,0.44,0.13,-0.09000000000000002,0.26,0.03999999999999998
@1,ndcg,0.27,0.4,0.53,0.44,0.13,-0.09000000000000002,0.26,0.03999999999999998
@1,precision,0.27,0.4,0.53,0.44,0.13,-0.09000000000000002,0.26,0.03999999999999998
@1,recall,0.108583,0.186583,0.244417,0.193083,0.078,-0.05133399999999999,0.135834,0.006500000000000006
@10,hit_rate,0.87,0.82,0.96,0.8,-0.050000000000000044,-0.15999999999999992,0.08999999999999997,-0.019999999999999907
@10,map,0.340584,0.327155,0.554981,0.36346,-0.013429000000000024,-0.19152099999999994,0.21439699999999995,0.03630500000000003
@10,mrr,0.443417,0.533563,0.682135,0.578151,0.090146,-0.10398400000000008,0.23871800000000004,0.04458799999999996
@10,ndcg,0.452644,0.428767,0.657662,0.466716,-0.02387699999999998,-0.19094599999999995,0.20501799999999998,0.03794900000000001
@10,precision,0.169,0.13,0.208,0.135,-0.03900000000000001,-0.07299999999999998,0.03899999999999998,0.0050000000000000044
@10,recall,0.64025,0.505917,0.8045,0.543667,-0.13433300000000004,-0.260833,0.16425,0.03775000000000006
@3,hit_rate,0.55,0.65,0.82,0.69,0.09999999999999998,-0.13,0.2699999999999999,0.039999999999999925
@3,map,0.265556,0.296111,0.467222,0.337222,0.030555,-0.13,0.201666,0.04111100000000001
@3,mrr,0.39,0.505,0.658333,0.56,0.11499999999999999,-0.09833299999999989,0.26833299999999993,0.05500000000000005
@3,ndcg,0.324125,0.36525,0.543343,0.411802,0.04112500000000002,-0.13154100000000002,0.21921800000000002,0.04655199999999998
@3,precision,0.263333,0.27,0.41,0.3,0.006667000000000034,-0.10999999999999999,0.146667,0.02999999999999997
@3,recall,0.328167,0.333167,0.538583,0.383667,0.0050000000000000044,-0.15491600000000005,0.21041600000000005,0.05049999999999999
@5,hit_rate,0.64,0.72,0.87,0.72,0.07999999999999996,-0.15000000000000002,0.22999999999999998,0.0
@5,map,0.287986,0.310464,0.50875,0.343422,0.022477999999999998,-0.16532800000000003,0.22076400000000002,0.03295799999999999
@5,mrr,0.4105,0.5205,0.670333,0.567,0.10999999999999999,-0.10333300000000001,0.259833,0.046499999999999986
@5,ndcg,0.362206,0.395085,0.592584,0.43003,0.03287900000000005,-0.16255399999999998,0.23037800000000003,0.034945000000000004
@5,precision,0.218,0.214,0.322,0.222,-0.0040000000000000036,-0.1,0.10400000000000001,0.008000000000000007
@5,recall,0.432333,0.425833,0.65625,0.45425,-0.006500000000000006,-0.202,0.22391699999999998,0.02841699999999997
