pair_id,jd_title,identified_gaps,truth_courses,pred_top10_titles,truth_course_titles
14,Business Analyst (Domain Bank/Fintech),presentation skills; technical analysis and solution design; group work and communication skills,CNTT1137,Natural Resources Management 2; System Analysis and Design; Urban and Regional Planning; Ngân hàng Trung ương; Economic and Technical Norms; Investment Project Design and Management; Data Analytics for Accounting; Investment Economics 1; Law on Procurement; Drafting Legal Documents,CNTT1137:Business Analysis
75,(Senior) Account Executive,Financial models; Media coordination; Profit margin management,TOTC1106; TOTC1108; TOTC1109,Advertising media planning; Public Accounting; Cost Management; Managerial Accounting 1; Financial Economics; History of Economic Theories; Revenue Management in Hospitality Business,TOTC1106:Fundamentals of Mathematical Finance | TOTC1108:The models for analyzing and evaluating the financial assets 1 | TOTC1109:The models for analyzing and evaluating the financial assets 2
79,"Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ",Non-life Insurance Products; Sales Agent Training; Partner Relationship Management,MKBH1109; BHKT1166,Insurance Business Administration 2; Business Insurance 1; Commercial Enterprise Management; Quản trị bán hàng; Selling Skills; Integrated skills - English for economics and business 1; Insurance Principles; Insurance Economics,MKBH1109:Customer Relationship Management | BHKT1166:Introduction to Actuarial
85,Senior Machine Learning Engineer,big data technology; NLP; LLM; VLM,TKkD1127; CNTT1140,Application of Artificial Intelligence in Business and Management; Database; Data Analysis Programming; Machine Learning; Advanced Technologies in Information and Communication Technology; Principles of Data Mining; Business Intelligence; Accounting Informatics,TKkD1127:Phân tích dữ liệu lớn | CNTT1140:Artificial Intelligence
87,Process Quality Assurance (PQA),FMEA; project-management-tools-JIRA,CNTT1159; TIKT1113,Project Quality Management; Project Execution Management; Quality Management; Project Management; Product Management,CNTT1159:Information Technology Project Management | TIKT1113:Management Information Systems Development
136,Nhân Viên Bán Hàng Trang Trí Nội Thất,English communication skills (average level),NNKC 1131; NNTM1176; NNTM1151,Selling Skills; English-Speaking skills 4; Modern Journalism; English 2,NNKC 1131:English 1 | NNTM1176:English – Listening and Speaking skills 1 | NNTM1151:Integrated skills - English for economics and business 1
142,Nhân Viên Nuôi Tài Khoản Facebook Ads,Data Analysis for Facebook Ad Campaigns,TKKT1133; TKkD1127,Decision Support Systems; E-commerce operation management; Data Analytics for Accounting; Digital Marketing; Social Networks,TKKT1133:Data Analysis 1 | TKkD1127:Phân tích dữ liệu lớn
155,"Nhân Viên Tư Vấn Tuyển Sinh/ Telesale/ Sale Giáo Dục (NỮ, 23 - 31 Tuổi), Thu Nhập 18 - 30 Triệu++ Tại Hồ Chí Minh",E-learning product knowledge; English proficiency (IELTS 5.5 or equivalent),NNTM1176; NNKC 1131,Fundamentals of E-commerce; Skills on Formulation and Execution of Commercial Contracts; English – Reading & Writing Skills 3; English for International Economics and Business; Drafting Legal Documents; English for Public Relations; Selling Skills; E-commerce Transaction: Theory and Practice; Electronic Commerce Systems; Integrated skills - English for economics and business 1,NNTM1176:English – Listening and Speaking skills 1 | NNKC 1131:English 1
171,Quản Lý Khách Hàng Cá Nhân (RM/SRM) - Thu Nhập Up To 30 Triệu/Tháng,credit operations; risk management; appraisal; valuation,TOTC1120; TOTC1121,Ngân hàng Trung ương; Commercial Banking; Commercial Banking 2; Corporate Valuation; Payment and Credit in International Trade; Brand Valuation; Real estate Valuation; Corporate Finance 1; Travel Business Management; Customer Relationship Management,TOTC1120:Quantitative risk management 1 | TOTC1121:Quantitative risk management 2
188,"Kế Toán Tổng Hợp (Thuế & Nội Bộ) Thu Nhập 10 – 20 Triệu - Mỹ Đình, Hà Nội",Financial Analysis; Corporate accounting regulations,KHMA1125; LUKD1185,Public Accounting; Accounting Principles; Commercial Enterprise Management; Quản trị Tài chính trong du lịch và khách sạn; Accounting for Insurance Enterprise; Data Analytics for Accounting; Models of Financial Corporate; English - Writing Skills 4,KHMA1125:Financial Economics | LUKD1185:Economic Law
468,Sale Admin,Access; Data analysis; Reports; Interpreting,TKKT1133; TKKT1134; TKKT1124,Selling Skills; Database; Decision Support Systems; Principles of Logistics Management; Commercial Enterprise Management; E-commerce operation management; Data Analytics for Accounting; Quản trị bán hàng; Integrated skills - English for economics and business 1,TKKT1133:Data Analysis 1 | TKKT1134:Data Analysis 2 | TKKT1124:Data Analysis
492,Fresher IT Helpdesk (Đào Tạo Chuyên Môn Cho Dự Án),Microsoft Teams; Basic English reading comprehension; General office software,NNKC 1131; CNTT1192; NNKC 1132; NNTM1181; NNTM1180,Data Analytics for Accounting; Quản lý công nghệ; Accounting Information Systems 2; Basic Informatics; Marketing Management; Accounting Information Systems 1; Web Programming; Data Driven Marketing,NNKC 1131:English 1 | CNTT1192:English for IT | NNKC 1132:English 2 | NNTM1181:English – Reading & Writing Skills 3 | NNTM1180:English – Reading & Writing Skills 2
