pair_id,jd_id,jd_title,truth_courses,gap_skill,gap_description,mapped_canonical_skill,mapped_canonical_skill_id,mapped_skill_description_proxy,mapping_score,below_top1_threshold_0_87,heuristic_generic_or_cross_domain,why_likely_wrong,gap_key,canon_key,best_gt_to_canonical_score,best_gt_skill_name,best_gt_canonical_label,gt_score_for_this_mapped_canonical,matched_gt_raw_skill_for_this_mapped_canonical,delta_vs_best_gt,abs_delta_vs_best_gt,mapped_canonical_has_gt_evidence,clean_best_gt_score,clean_best_gt_skill,clean_best_gt_canonical,clean_best_gt_desc,gap_is_technical_like,clean_gt_exists,jacc_gap_clean_gt,jacc_gap_mapped,delta_mapping_minus_clean_gt,clean_gt_semantic_match_flag
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,BigQuery,Inadequate experience in operating Google BigQuery databases for cloud-based data management and engineering tasks.,Database Concepts,be2dcb53ae5ec42e,"Understand basic concepts of databases, data models, and database management systems.",0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,bigquery,database concepts,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.30000000000000004,True
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,Python,Missing proficiency in Python to automate complex HR data processing and streamline monthly salary calculation workflows.,Using Human Resource Information System,127aa6b9958f52c0,,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,python,using human resource information system,1.0,Group Organization,Group organization,,,-0.3,0.3,False,1.0,Data Extraction Techniques,Reporting with Database,Apply data extraction techniques using SQL commands.,True,True,0.0,0.0,-0.30000000000000004,True
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,SQL,Lacks the ability to use SQL for querying and managing large employee datasets within integrated HR systems.,Using Human Resource Information System,127aa6b9958f52c0,,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,sql,using human resource information system,1.0,Group Organization,Group organization,,,-0.3,0.3,False,1.0,Data Extraction Techniques,Reporting with Database,Apply data extraction techniques using SQL commands.,True,True,0.0,0.0,-0.30000000000000004,True
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,EC2,Deploying and managing scalable compute instances to support data engineering infrastructure and processing tasks.,Google Colab,70f0d3e18d498cc9,Use Google Colab for Python development.,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ec2,google colab,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.30000000000000004,True
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,ECS/EKS,Managing and orchestrating containerized data applications using Amazon's container service or managed Kubernetes clusters.,Data Warehouse Knowledge,2271ef0581251939,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ecs/eks,data warehouse knowledge,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,CAN,Practical knowledge of the CAN protocol for reliable hardware-software communication in embedded control systems.,IoT Communication Protocols,ec0c117e7102e046,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,can,iot communication protocols,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,Ethernet,Skills in Ethernet protocol implementation and socket programming for networking hardware/software communication modules.,Basic Network Device Functionality,5bda4c7ea955425e,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ethernet,basic network device functionality,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,FPGA,Proficiency in using FPGA platforms to implement and test hardware-level control logic and system modules.,Arduino Programming,41f7231391c7adf4,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,fpga,arduino programming,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,IPCore,Experience deploying IPCore on hardware platforms to develop and optimize high-performance system-level features.,Programming Skills,acbf4c273a15345c,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ipcore,programming skills,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,Java,Proficiency in Java for building high-performance system-level applications and control system modules as per requirements.,Execute code segments,b2bc6356f1ce6286,Complete assignments and solve problems related to Java programming.,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,java,execute code segments,1.0,Classroom Discipline,Classroom Discipline,1.0,Execute code segments,-0.3,0.3,True,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",True,True,0.0,0.0,-0.30000000000000004,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,multithreading,Ability to implement multithreading for efficient concurrent execution and synchronization within complex system software.,Process Communication and Synchronization,20eee9e87acff49b,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,multithreading,process communication and synchronization,1.0,Classroom Discipline,Classroom Discipline,,,-0.3,0.3,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",False,True,0.0,0.0,-0.30000000000000004,True
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,AWS,Skill in leveraging Amazon Web Services to deploy and maintain scalable cloud-native backend solutions.,Web Services Technologies,f39e4ff9d1d348e9,,0.768,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,aws,web services technologies,1.0,Classroom Discipline,Classroom Discipline,,,-0.2319999999999999,0.2319999999999999,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.23199999999999998,True
55,695cbcbd1fa95d1eeecca0be,"Back End Developer (Java, MySQL, Spring)",CNTT1167; TIKT1124; TIKT1130,GCP,Proficiency in Google Cloud Platform services for building and managing modern backend infrastructure and applications.,Deploying and managing web applications,55dcfba3a15e9371,,0.7877,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,gcp,deploying and managing web applications,1.0,Classroom Discipline,Classroom Discipline,,,-0.2123,0.2123,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.21230000000000004,True
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,Kubernetes,Missing proficiency in container orchestration for managing and scaling Java backend applications in cloud-native environments.,Deploying and managing web applications,55dcfba3a15e9371,,0.8186,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,kubernetes,deploying and managing web applications,1.0,Classroom Discipline,Classroom Discipline,,,-0.1814,0.1814,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.1814,True
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,chatbots,Missing experience in implementing and managing automated chatbots to streamline customer interactions and support marketing automation.,Role and position of digital marketing strategy,214cc1de99277305,,0.8381,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,chatbots,role and position of digital marketing strategy,1.0,Collaborative Problem Solving,Identify basic problems in AI,,,-0.1619,0.1619,False,1.0,Artificial Intelligence Overview,Artificial Intelligence Overview,"Understand basic concepts, achievements, application areas, and future trends of AI.",False,True,0.0,0.0,-0.16190000000000004,True
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,ECS/EKS,Lacks skills in orchestrating containerized applications using AWS ECS or EKS for scalable and managed data processing tasks.,Proficient Computer Skills in Data Mining,d5f90597d244bc06,,0.8429,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ecs/eks,proficient computer skills in data mining,1.0,Classroom Discipline,Classroom Discipline,,,-0.1571,0.1571,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.15710000000000002,True
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Change management,"Ability to manage DBMS object changes including tables, indexes, views, and procedures during database updates.",Database Design and Management,2f605ae1bc21a044,,0.844,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,change management,database design and management,1.0,Classroom Discipline,Classroom Discipline,,,-0.156,0.156,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",False,True,0.0,0.2,-0.15600000000000003,True
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,GCP,Requires knowledge of Google Cloud Platform tools and infrastructure for building and operating cloud-based backend services.,Cloud Concepts,cc975e69d79a6f6f,,0.8466,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,gcp,cloud concepts,1.0,Classroom Discipline,Classroom Discipline,,,-0.1533999999999999,0.1533999999999999,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.15339999999999998,True
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,AI,Need to apply artificial intelligence tools to automate marketing activities and improve customer engagement efficiency.,Online and Offline Marketing Tools,c9684dc5c9800452,,0.8516,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,ai,online and offline marketing tools,1.0,Independent study and group work,Independent study and group work,,,-0.1483999999999999,0.1483999999999999,False,1.0,Artificial Intelligence Overview,Artificial Intelligence Overview,"Understand basic concepts, achievements, application areas, and future trends of AI.",False,True,0.0,0.0,-0.14839999999999998,True
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,Lean,Lacks experience applying Lean methodologies to eliminate administrative waste and improve efficiency in HR operational processes.,Human Resource Management in Insurance,43c84d9fcc178867,,0.8597,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,lean,human resource management in insurance,1.0,Group Organization,Group organization,,,-0.1402999999999999,0.1402999999999999,False,1.0,Data Extraction Techniques,Reporting with Database,Apply data extraction techniques using SQL commands.,False,True,0.0,0.0,-0.14029999999999998,True
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,Azure,"Missing proficiency in designing, building, and operating database systems within the Microsoft Azure public cloud environment.",SQL Database Management,0903a2efa00ef879,Create and manage simple databases with SQL Server,0.8629,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,azure,sql database management,1.0,Classroom Discipline,Classroom Discipline,,,-0.1371,0.1371,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.1371,True
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,parallel processing,Competency in parallel processing to optimize performance and execute mathematical models for system analysis.,Data Analysis Software Skills,125742c2ece8e9ae,,0.8687,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,parallel processing,data analysis software skills,1.0,Classroom Discipline,Classroom Discipline,,,-0.1312999999999999,0.1312999999999999,False,1.0,Apply basic programming techniques,Apply basic programming techniques,"Use control structures, functions, object-oriented programming, input/output, multithreading, and general programming concepts.",False,True,0.0,0.0,-0.13129999999999997,True
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,AWS,Requires technical competency in utilizing AWS cloud infrastructure to manage and secure digital HR records and applications.,Human Resource Management in Insurance,43c84d9fcc178867,,0.8701,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,aws,human resource management in insurance,1.0,Group Organization,Group organization,,,-0.1299,0.1299,False,1.0,Data Extraction Techniques,Reporting with Database,Apply data extraction techniques using SQL commands.,True,True,0.0,0.0,-0.12990000000000002,True
90,696380c657a0f8cfb910e926,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",CNTT1180; CNTT1116,Docker,Absence of proficiency in Docker infrastructure required to support development environments and bridge-related technical coordination within IT projects.,Web Development Tools,f88313c4e8cfe4de,,0.8705,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,docker,web development tools,1.0,Control Structures,Code Execution,,,-0.1294999999999999,0.1294999999999999,False,1.0,Control Structures,Code Execution,"Apply control structures such as if, while, and for loops in Python.",True,True,0.0,0.0,-0.12949999999999995,True
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,AWS,Missing knowledge of AWS cloud platforms for deploying and managing HR-related applications and infrastructure.,Recruitment Concept Understanding,a6750d1525020600,,0.8899,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,aws,recruitment concept understanding,1.0,Classroom Discipline,Classroom Discipline,,,-0.1100999999999999,0.1100999999999999,False,1.0,Control Structures,Code Execution,"Apply control structures such as if, while, and for loops in Python.",True,True,0.0,0.0,-0.11009999999999998,True
