pair_id	jd_title	gaps	truth_courses	pred_top3	hit1	hit10	gap_to_canon
0	Data Engineer (DBA)	Azure; Redshift; BigQuery	CNTT1167; CNTT1186	Phân tích dữ liệu lớn; Cloud Service Security; Cloud Computing	0.0	1.0	Azure -> 81121f330a983b7f:Cloud computing (0.8839); Redshift -> cc975e69d79a6f6f:Cloud Concepts (0.8376); BigQuery -> 983b5e0fb845ddb8:Managing large datasets (0.8564)
1	Senior QA Automation Engineer	n8n; AI-Native; AI-Augmented Daily Workflows	CNTT1140; TIHT1123; CNTT1186	Advanced Technologies in Information and Communication Technology; Advanced Programming; Application of Artificial Intelligence in Business and Management	1.0	1.0	n8n -> d199bd441c0c4d67:Tools for Organizing Plan Implementation (0.8561); AI-Native -> 50779cd6819806ac:Research and develop AI applications (0.8691); AI-Augmented Daily Workflows -> 50779cd6819806ac:Research and develop AI applications (0.8650)
2	Backend Developer (C++)	GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)	CNTT1167	Cloud Service Security; Web Programming; Cloud Computing	0.0	1.0	GraphQL -> 8b6799760a8163c1:RESTful API Development (0.8282); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); lock-free programming -> 20eee9e87acff49b:Process Communication and Synchronization (0.8359); log analysis -> d9363d607f47f563:Monitoring and Auditing (0.8895); production issue resolution -> 221a2a27bf9df346:Problem Identification and Resolution (0.8613); cloud services (AWS, GCP) -> 81121f330a983b7f:Cloud computing (0.9491)
4	Cloud System Engineer (GCP)	Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies	CNTT1198; CNTT1167; CNTT1168; CNTT11105	Cryptography and Information Security; An toàn và bảo mật thông tin; Crisis Management	1.0	1.0	Google Cloud Deployment Manager -> 55dcfba3a15e9371:Deploying and managing web applications (0.8413); Go -> 454349e422f05297:R (0.8056); encryption -> 9899f1fec6613468:AES (0.9577); disaster recovery strategies -> 53a54e806a70f753:Data Backup and Recovery (0.8917)
7	System Admin	Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)	CNTT1145; CNTT1121	Virtualization Technologies; Computer Network and Data Communication; Network Management	1.0	1.0	Docker -> 70f0d3e18d498cc9:Google Colab (0.8576); Networking (TCP/IP Routing, Switching) -> cce4887ca5118b95:Fundamental Understanding of Computer Networks (0.9052); vCenter -> a3d7bb38562108eb:Data Center Virtualization Architecture (0.8804); Virtualization Systems Management (Full stack) -> 2e3e746b47bf09af:Storage Virtualization Mechanisms (0.8826)
9	Chuyên Viên Nhân Sự Tổng Hợp	Python; SQL; AWS; SEO; Lean	QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180	Database; Cloud Service Security; Cloud Computing	1.0	1.0	Python -> 11a4a60b518bf249:Python (1.0000); SQL -> 0903a2efa00ef879:SQL Database Management (0.9130); AWS -> 81121f330a983b7f:Cloud computing (0.8744); SEO -> 7175b5240094d556:SEO Tools Proficiency (0.9186); Lean -> f874a7f9dbb8cb2e:Generalizing lessons learned (0.8402)
12	Data Engineer (Spark, AWS Glue) (Onboard ASAP)	Docker; containerization; ECS/EKS	CNTT1167; CNTT1198; CNTT1186	Virtualization Technologies; Cloud Computing; Web Applications Development	0.0	1.0	Docker -> 70f0d3e18d498cc9:Google Colab (0.8576); containerization -> 2e3e746b47bf09af:Storage Virtualization Mechanisms (0.8378); ECS/EKS -> cc975e69d79a6f6f:Cloud Concepts (0.8710)
14	Business Analyst (Domain Bank/Fintech)	presentation skills; technical analysis and solution design; group work and communication skills	CNTT1137	Pháp luật thi hành án dân sự; Economics and Management of Community Development; Law on Commerce 1	0.0	0.0	presentation skills -> dc08258145c09363:Presentation skills (0.9810); technical analysis and solution design -> d4f3369453884786:Technical Analysis (0.8979); group work and communication skills -> 85d7957063524c2b:Group work skills (0.9747)
17	Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu	PowerPoint; accounting software (Fast)	KTHT1104	Computer-based Accounting; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing	0.0	0.0	PowerPoint -> b45dfaa7fc8f1653:Microsoft Excel (0.8856); accounting software (Fast) -> 5cda33bd7b0feb89:Specialized Accounting Software for Business (0.9145)
21	Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh	Financial banking operations knowledge; Credit profiling and evaluation; Product advisory	NHTM 1121; NHTM 1111; MKMA1101	Commercial Banking 1; Quantitative risk management 2; Commercial Banking	0.0	1.0	Financial banking operations knowledge -> bed622c72ddf016b:Banking Operations (0.9462); Credit profiling and evaluation -> 22b38dee90bbb4f3:Credit Risk Modeling (0.8912); Product advisory -> 835fc1daf02cd83c:Policy Recommendation (0.8811)
